method_name,text_col,val_experiment,acc_mean,acc_std,macro_f1_mean,macro_f1_std,seeds,total_params,trainable_params,macro_f1_base,delta_macro_f1_mean,delta_macro_f1_std,method_family,source_run
MLP_MaskAug,structured_features,E1_clean,0.688455778438693,0.000255739535805,0.7037426541249405,0.000389049250151,3,216583.0,216583.0,,0.0,0.0,tabular,lightweight_tabular_full_3seed
tfidf_svm,text,E1_clean,0.73535,0.0,0.7010114331309435,0.0,3,3969.0,3969.0,0.7010114331309435,0.0,0.0,text_baseline,lightweight_text_medium_3seed
MLP,structured_features,E1_clean,0.6632285009175473,0.005704956106858,0.6766394543952864,0.0071911491947028,3,216583.0,216583.0,,0.0,0.0,tabular,lightweight_tabular_full_3seed
tfidf_logreg,text,E1_clean,0.69555,0.010283603454042712,0.6258246160990493,0.009584727780039192,3,3969.0,3969.0,0.6258246160990493,0.0,0.0,text_baseline,lightweight_text_medium_3seed
Logistic Regression,structured_features,E1_clean,0.5293931531987597,0.0,0.5121239547131095,0.0,3,1141.0,1141.0,,0.0,0.0,tabular,lightweight_tabular_full_3seed
Linear SVM,structured_features,E1_clean,0.5056002024931975,0.0,0.4766018911367999,0.0,3,1141.0,1141.0,,0.0,0.0,tabular,lightweight_tabular_full_3seed
MLP_MaskAug,structured_features,E3_mask_10,0.6551287730177814,0.0069052574147712,0.6659560713687692,0.0078378753874667,3,216583.0,216583.0,,-0.0377865827561712,0.0082268278118881,tabular,lightweight_tabular_full_3seed
tfidf_svm,text,E3_mask_10,0.7044,0.0,0.6269539236078675,0.0,3,3969.0,3969.0,0.7010114331309435,-0.07405750952307599,0.0,text_baseline,lightweight_text_medium_3seed
MLP,structured_features,E3_mask_10,0.5863865510767998,0.002418167940655,0.5864811511306036,0.0034156579462793,3,216583.0,216583.0,,-0.0901583032646827,0.0038971604125439,tabular,lightweight_tabular_full_3seed
tfidf_logreg,text,E3_mask_10,0.6762333333333332,0.007261255630628495,0.5698841814125962,0.012286061833300329,3,3969.0,3969.0,0.6258246160990493,-0.055940434686453044,0.0,text_baseline,lightweight_text_medium_3seed
Logistic Regression,structured_features,E3_mask_10,0.5080048092134405,0.0,0.4900795551994129,0.0,3,1141.0,1141.0,,-0.0220443995136965,0.0,tabular,lightweight_tabular_full_3seed
Linear SVM,structured_features,E3_mask_10,0.4937037271404164,0.0,0.4654628630656672,0.0,3,1141.0,1141.0,,-0.0111390280711326,0.0,tabular,lightweight_tabular_full_3seed
MLP_MaskAug,structured_features,E3_mask_30,0.6053491953004704,0.0089950631448645,0.6097734357813286,0.0115282451280317,3,216583.0,216583.0,,-0.0939692183436119,0.0119172941483625,tabular,lightweight_tabular_full_3seed
tfidf_svm,text,E3_mask_30,0.65415,0.0,0.5363544991967804,0.0,3,3969.0,3969.0,0.7010114331309435,-0.16465693393416314,0.0,text_baseline,lightweight_text_medium_3seed
tfidf_logreg,text,E3_mask_30,0.6348333333333334,0.002136195996001649,0.4962419893750401,0.011906125830920544,3,3969.0,3969.0,0.6258246160990493,-0.12958262672400916,0.0,text_baseline,lightweight_text_medium_3seed
MLP,structured_features,E3_mask_30,0.4778206669619693,0.0022736498415771,0.4675070865452175,0.0030114614359141,3,216583.0,216583.0,,-0.2091323678500688,0.0089646740152341,tabular,lightweight_tabular_full_3seed
Logistic Regression,structured_features,E3_mask_30,0.4736442447636524,0.0,0.4545450759496707,0.0,3,1141.0,1141.0,,-0.0575788787634388,0.0,tabular,lightweight_tabular_full_3seed
Linear SVM,structured_features,E3_mask_30,0.47965576156426,0.0,0.4509393618609311,0.0,3,1141.0,1141.0,,-0.0256625292758688,0.0,tabular,lightweight_tabular_full_3seed
MLP_MaskAug,structured_features,E3_mask_50,0.5609061570587862,0.009302676942827,0.5599382213991707,0.0120635377495727,3,216583.0,216583.0,,-0.1438044327257699,0.0124514012635449,tabular,lightweight_tabular_full_3seed
tfidf_svm,text,E3_mask_50,0.6145,0.0,0.4789363238430422,0.0,3,3969.0,3969.0,0.7010114331309435,-0.2220751092879013,0.0,text_baseline,lightweight_text_medium_3seed
tfidf_logreg,text,E3_mask_50,0.5983499999999999,0.0018520259177451878,0.4430404160683101,0.013170133697921575,3,3969.0,3969.0,0.6258246160990493,-0.1827842000307392,0.0,text_baseline,lightweight_text_medium_3seed
Linear SVM,structured_features,E3_mask_50,0.4553565778649623,0.0,0.4279614434467227,0.0,3,1141.0,1141.0,,-0.0486404476900772,0.0,tabular,lightweight_tabular_full_3seed
Logistic Regression,structured_features,E3_mask_50,0.442890590394229,0.0,0.4236983915871441,0.0,3,1141.0,1141.0,,-0.0884255631259653,0.0,tabular,lightweight_tabular_full_3seed
MLP,structured_features,E3_mask_50,0.399670948554072,0.0063418185490692,0.3796540200989819,0.0086359080674775,3,216583.0,216583.0,,-0.2969854342963043,0.0142866630499913,tabular,lightweight_tabular_full_3seed
MLP_MaskAug,structured_features,E3_block_10,0.6705477862853044,0.0042223506360437,0.6806097754212607,0.0053400035978201,3,216583.0,216583.0,,-0.0231328787036797,0.0057284891632523,tabular,lightweight_tabular_full_3seed
tfidf_svm,text,E3_block_10,0.71245,0.0,0.6420443870748288,0.0,3,3969.0,3969.0,0.7010114331309435,-0.05896704605611469,0.0,text_baseline,lightweight_text_medium_3seed
MLP,structured_features,E3_block_10,0.6127950389166613,0.0051992956531408,0.6177108206373837,0.0050011761095029,3,216583.0,216583.0,,-0.0589286337579026,0.0030714724096501,tabular,lightweight_tabular_full_3seed
tfidf_logreg,text,E3_block_10,0.6743666666666667,0.009023903442154787,0.5709829270019511,0.0021448620432699948,3,3969.0,3969.0,0.6258246160990493,-0.05484168909709819,0.0,text_baseline,lightweight_text_medium_3seed
Logistic Regression,structured_features,E3_block_10,0.5140796051382649,0.0,0.4956449086293018,0.0,3,1141.0,1141.0,,-0.0164790460838076,0.0,tabular,lightweight_tabular_full_3seed
Linear SVM,structured_features,E3_block_10,0.4909194456748718,0.0,0.4632217089883543,0.0,3,1141.0,1141.0,,-0.0133801821484456,0.0,tabular,lightweight_tabular_full_3seed
MLP_MaskAug,structured_features,E3_block_30,0.6230040709569913,0.0076359140575654,0.626568061924758,0.0103098095812738,3,216583.0,216583.0,,-0.0771745922001825,0.0106988278056045,tabular,lightweight_tabular_full_3seed
tfidf_svm,text,E3_block_30,0.6588,0.0,0.5521218558010406,0.0,3,3969.0,3969.0,0.7010114331309435,-0.14888957732990293,0.0,text_baseline,lightweight_text_medium_3seed
MLP,structured_features,E3_block_30,0.5209981227193149,0.0054853669820263,0.5156547353902375,0.0043966440562437,3,216583.0,216583.0,,-0.1609847190050488,0.0046252165055334,tabular,lightweight_tabular_full_3seed
tfidf_logreg,text,E3_block_30,0.63295,0.00885564791531368,0.4925536207579941,0.0035960349374962617,3,3969.0,3969.0,0.6258246160990493,-0.1332709953410552,0.0,text_baseline,lightweight_text_medium_3seed
Logistic Regression,structured_features,E3_block_30,0.4826931595266721,0.0,0.4627456739663039,0.0,3,1141.0,1141.0,,-0.0493782807468055,0.0,tabular,lightweight_tabular_full_3seed
Linear SVM,structured_features,E3_block_30,0.4625703980256913,0.0,0.4378456462497691,0.0,3,1141.0,1141.0,,-0.0387562448870308,0.0,tabular,lightweight_tabular_full_3seed
MLP_MaskAug,structured_features,E3_block_50,0.572654981121728,0.0073888595875728,0.5725704259894823,0.0093206142601101,3,216583.0,216583.0,,-0.1311722281354581,0.0096991033209377,tabular,lightweight_tabular_full_3seed
tfidf_svm,text,E3_block_50,0.5986,0.0,0.4778132959622132,0.0,3,3969.0,3969.0,0.7010114331309435,-0.22319813716873027,0.0,text_baseline,lightweight_text_medium_3seed
Logistic Regression,structured_features,E3_block_50,0.4506739226729102,0.0,0.4331481636515682,0.0,3,1141.0,1141.0,,-0.0789757910615412,0.0,tabular,lightweight_tabular_full_3seed
tfidf_logreg,text,E3_block_50,0.59125,0.009208148565265443,0.4281772392091345,0.0035838737393026504,3,3969.0,3969.0,0.6258246160990493,-0.1976473768899148,0.0,text_baseline,lightweight_text_medium_3seed
MLP,structured_features,E3_block_50,0.4396211689763547,0.0032050319413145,0.4218829071968075,0.0021993312230636,3,216583.0,216583.0,,-0.2547565471984788,0.005304060490164,tabular,lightweight_tabular_full_3seed
Linear SVM,structured_features,E3_block_50,0.4350439789913307,0.0,0.4138873815370708,0.0,3,1141.0,1141.0,,-0.0627145095997291,0.0,tabular,lightweight_tabular_full_3seed
tfidf_svm,text,E4_noise_10,0.72195,0.0,0.6751523723146137,0.0,3,3969.0,3969.0,0.7010114331309435,-0.025859060816329826,0.0,text_baseline,lightweight_text_medium_3seed
MLP_MaskAug,structured_features,E4_noise_10,0.652576515007699,0.0026367989146368,0.6653339334451803,0.0018521418563424,3,216583.0,216583.0,,-0.0384087206797602,0.0021210113542589,tabular,lightweight_tabular_full_3seed
MLP,structured_features,E4_noise_10,0.6416503195595773,0.0112651060236531,0.6515588981853765,0.0099102987627982,3,216583.0,216583.0,,-0.0250805562099099,0.005932653861318,tabular,lightweight_tabular_full_3seed
tfidf_logreg,text,E4_noise_10,0.6827,0.003051229260478527,0.5865779887452726,0.03941028469572598,3,3969.0,3969.0,0.6258246160990493,-0.03924662735377671,0.0,text_baseline,lightweight_text_medium_3seed
Logistic Regression,structured_features,E4_noise_10,0.5293298740745428,0.0,0.5116980588242666,0.0,3,1141.0,1141.0,,-0.0004258958888428,0.0,tabular,lightweight_tabular_full_3seed
Linear SVM,structured_features,E4_noise_10,0.5047775738783775,0.0,0.4755129015763553,0.0,3,1141.0,1141.0,,-0.0010889895604446,0.0,tabular,lightweight_tabular_full_3seed
tfidf_svm,text,E4_noise_30,0.7078000000000001,0.0,0.6584247227649901,0.0,3,3969.0,3969.0,0.7010114331309435,-0.042586710365953406,0.0,text_baseline,lightweight_text_medium_3seed
MLP_MaskAug,structured_features,E4_noise_30,0.6068889873230822,0.0058217940629226,0.6180933953053928,0.0045783793122475,3,216583.0,216583.0,,-0.0856492588195477,0.0049248642029608,tabular,lightweight_tabular_full_3seed
MLP,structured_features,E4_noise_30,0.5897192516188909,0.0109804020341144,0.5939579515196871,0.0106860734414649,3,216583.0,216583.0,,-0.0826815028755992,0.0075713173112762,tabular,lightweight_tabular_full_3seed
tfidf_logreg,text,E4_noise_30,0.6697833333333333,0.0022058633986114045,0.5730513659912938,0.04245432263054835,3,3969.0,3969.0,0.6258246160990493,-0.052773250107755465,0.0,text_baseline,lightweight_text_medium_3seed
Logistic Regression,structured_features,E4_noise_30,0.5287603619565905,0.0,0.5109310804145484,0.0,3,1141.0,1141.0,,-0.001192874298561,0.0,tabular,lightweight_tabular_full_3seed
Linear SVM,structured_features,E4_noise_30,0.505979877238499,0.0,0.4771851963427136,0.0,3,1141.0,1141.0,,0.0005833052059137,0.0,tabular,lightweight_tabular_full_3seed
tfidf_svm,text,E4_noise_50,0.6984499999999999,0.0,0.6410831779646752,0.0,3,3969.0,3969.0,0.7010114331309435,-0.05992825516626832,0.0,text_baseline,lightweight_text_medium_3seed
MLP_MaskAug,structured_features,E4_noise_50,0.5811343837667954,0.005192102592812,0.5882040979738474,0.0041876417920165,3,216583.0,216583.0,,-0.115538556151093,0.0044668157232028,tabular,lightweight_tabular_full_3seed
tfidf_logreg,text,E4_noise_50,0.6603500000000001,0.0021794494717703324,0.5586437390210081,0.041352236605822525,3,3969.0,3969.0,0.6258246160990493,-0.06718087707804121,0.0,text_baseline,lightweight_text_medium_3seed
MLP,structured_features,E4_noise_50,0.5544516863886604,0.0069916989518107,0.5515329653969417,0.0077995949051602,3,216583.0,216583.0,,-0.1251064889983447,0.0047142278304686,tabular,lightweight_tabular_full_3seed
Logistic Regression,structured_features,E4_noise_50,0.5244573815098399,0.0,0.5054839285191688,0.0,3,1141.0,1141.0,,-0.0066400261939406,0.0,tabular,lightweight_tabular_full_3seed
Linear SVM,structured_features,E4_noise_50,0.5057267607416314,0.0,0.4778673258240567,0.0,3,1141.0,1141.0,,0.0012654346872568,0.0,tabular,lightweight_tabular_full_3seed
